State,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
Odisha,16.1.4,Stock position of DT vaccines,1. Balance From Previous Month,207713,262916,248560,231041,245032,131944,37015,21635,34124,21350,53850,64780,1559960
Odisha,16.1.4,Stock position of DT vaccines,2. Stocks Received,41003,45195,43160,32970,21530,33347,9290,35110,6515,187000,77000,107500,639620
Odisha,16.1.4,Stock position of DT vaccines,3. Unusable Stock,NA,NA,NA,NA,NA,1400,3696,NA,NA,4500,NA,NA,9596
Odisha,16.1.4,Stock position of DT vaccines,4. Stock Distributed,44663,58650,54989,73664,77385,69926,20856,17500,23306,125450,37150,101770,705309
Odisha,16.1.4,Stock position of DT vaccines,5. Total Stock,204053,249461,236731,190347,189177,93965,21753,39245,17333,78400,93700,70510,1484675
Odisha,16.1.5,Stock position of BCG vaccines,1. Balance From Previous Month,293919,315303,293693,216664,183879,158803,137608,129948,159723,76655,72000,32620,2070815
Odisha,16.1.5,Stock position of BCG vaccines,2. Stocks Received,87480,96521,104723,120740,131715,115156,141640,144740,66020,145520,22800,110900,1287955
Odisha,16.1.5,Stock position of BCG vaccines,3. Unusable Stock,NA,NA,NA,NA,NA,3690,NA,NA,1300,535,NA,NA,5525
Odisha,16.1.5,Stock position of BCG vaccines,4. Stock Distributed,110333,111941,120321,163300,125955,122775,135350,133070,126528,149048,36950,118350,1453921
Odisha,16.1.5,Stock position of BCG vaccines,5. Total Stock,271066,299883,278095,174104,189639,147494,143898,141618,97915,72592,57850,25170,1899324
Odisha,16.1.6,Stock position of Measles vaccines,1. Balance From Previous Month,102342,103595,119070,56159,34372,15579,47275,64700,130564,148608,118085,98605,1038954
Odisha,16.1.6,Stock position of Measles vaccines,2. Stocks Received,57195,32282,25940,12845,10315,47292,119350,151775,130420,147110,50750,109000,894274
Odisha,16.1.6,Stock position of Measles vaccines,3. Unusable Stock,NA,NA,NA,NA,NA,NA,500,4500,4500,33,NA,NA,9533
Odisha,16.1.6,Stock position of Measles vaccines,4. Stock Distributed,69065,42939,49250,35792,18397,25924,119316,105580,111796,123250,32250,95590,829149
Odisha,16.1.6,Stock position of Measles vaccines,5. Total Stock,90472,92938,95760,33212,26290,36947,46809,106395,144688,172435,136585,112015,1094546
Odisha,16.1.7,Stock position of JE vaccines,1. Balance From Previous Month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.1.7,Stock position of JE vaccines,2. Stocks Received,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.1.7,Stock position of JE vaccines,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.1.7,Stock position of JE vaccines,4. Stock Distributed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.1.7,Stock position of JE vaccines,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,16.1.8,Stock position of Hepatitis B vaccines,1. Balance From Previous Month,107650,57060,82120,NA,NA,NA,150,49850,27930,16270,NA,NA,341030
Odisha,16.1.8,Stock position of Hepatitis B vaccines,2. Stocks Received,17000,NA,249000,NA,NA,NA,50000,NA,NA,NA,NA,NA,316000
Odisha,16.1.8,Stock position of Hepatitis B vaccines,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.1.8,Stock position of Hepatitis B vaccines,4. Stock Distributed,25480,13340,81680,NA,NA,NA,300,21920,11660,15260,NA,NA,169640
Odisha,16.1.8,Stock position of Hepatitis B vaccines,5. Total Stock,99170,43720,249440,0,0,0,49850,27930,16270,1010,0,0,487390
Odisha,16.2.1,Stock Position of IU 380 A (to be used for Family Planning),1. Balance From Previous Month,38228,67769,62577,59005,277651,47891,33958,11486,10001,18076,14596,7080,648318
Odisha,16.2.1,Stock Position of IU 380 A (to be used for Family Planning),2. Stocks Received,18331,14577,16341,11508,25288,9703,4100,NA,14400,19500,4200,6000,143948
Odisha,16.2.1,Stock Position of IU 380 A (to be used for Family Planning),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,30
Odisha,16.2.1,Stock Position of IU 380 A (to be used for Family Planning),4. Stock Distributed,5571,9155,10757,15119,27842,10675,8599,4720,4475,19080,2800,4550,123343
Odisha,16.2.1,Stock Position of IU 380 A (to be used for Family Planning),5. Total Stock,50988,73191,68161,55394,275097,46919,29459,6766,19926,18466,15996,8530,668893
Odisha,16.2.2,Stock Position of Condoms (to be used for Family Planning),1. Balance From Previous Month,383737,296951,280765,16192,30048,271282,3177397,3888306,2042500,2053000,554100,390600,13384878
Odisha,16.2.2,Stock Position of Condoms (to be used for Family Planning),2. Stocks Received,88000,37786,35511,2497,NA,68900,744600,950500,270000,1215000,120000,70000,3602794
Odisha,16.2.2,Stock Position of Condoms (to be used for Family Planning),3. Unusable Stock,NA,NA,NA,NA,NA,NA,271149,59149,NA,NA,NA,NA,330298
Odisha,16.2.2,Stock Position of Condoms (to be used for Family Planning),4. Stock Distributed,125892,97879,94283,4414,9085,118812,1222013,1881149,629500,1636500,275000,239000,6333527
Odisha,16.2.2,Stock Position of Condoms (to be used for Family Planning),5. Total Stock,345845,236858,221993,14275,20963,221370,2428835,2898508,1683000,1631500,399100,221600,10323847
Odisha,16.2.3,Stock Position of Oral Contraceptive (to be used for Family Planning),1. Balance From Previous Month,427717,413339,524943,665277,440529,509137,355652,354351,143600,226100,97000,25000,4182645
Odisha,16.2.3,Stock Position of Oral Contraceptive (to be used for Family Planning),2. Stocks Received,130633,161039,176191,184170,275897,289939,84635,56400,107000,240000,50000,25000,1780904
Odisha,16.2.3,Stock Position of Oral Contraceptive (to be used for Family Planning),3. Unusable Stock,NA,NA,NA,NA,NA,NA,8000,2000,NA,NA,NA,NA,10000
Odisha,16.2.3,Stock Position of Oral Contraceptive (to be used for Family Planning),4. Stock Distributed,93847,100338,120330,227613,202975,157250,198537,220806,60500,217000,23000,22000,1644196
Odisha,16.2.3,Stock Position of Oral Contraceptive (to be used for Family Planning),5. Total Stock,464503,474040,580804,621834,513451,641826,233750,187945,190100,249100,124000,28000,4309353
Odisha,16.2.4,Stock Position of Emergency Contraceptive (to be used for Family Planning),1. Balance From Previous Month,84970,29864,18646,5133,13098,8652,5165,35179,36199,36999,4650,1835,280390
Odisha,16.2.4,Stock Position of Emergency Contraceptive (to be used for Family Planning),2. Stocks Received,12136,16801,16594,52909,2050,474672,1000,3000,10600,2300,850,NA,592912
Odisha,16.2.4,Stock Position of Emergency Contraceptive (to be used for Family Planning),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.2.4,Stock Position of Emergency Contraceptive (to be used for Family Planning),4. Stock Distributed,14591,16723,10097,6384,3348,63647,1960,1960,2535,2644,150,1235,125274
Odisha,16.2.4,Stock Position of Emergency Contraceptive (to be used for Family Planning),5. Total Stock,82515,29942,25143,51658,11800,419677,4205,36219,44264,36655,5350,600,748028
Odisha,16.2.5,Stock Position of Tubal Rings (to be used for Family Planning),1. Balance From Previous Month,7566,4097,7064,4086,66441,7767,7444,8894,8194,9494,6800,2919,140766
Odisha,16.2.5,Stock Position of Tubal Rings (to be used for Family Planning),2. Stocks Received,500,345,1144,NA,3640,1156,3900,NA,3000,8000,NA,NA,21685
Odisha,16.2.5,Stock Position of Tubal Rings (to be used for Family Planning),3. Unusable Stock,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,3000
Odisha,16.2.5,Stock Position of Tubal Rings (to be used for Family Planning),4. Stock Distributed,1277,1360,1625,35,13198,718,2050,1900,2200,6355,2600,465,33783
Odisha,16.2.5,Stock Position of Tubal Rings (to be used for Family Planning),5. Total Stock,6789,3082,6583,4051,56883,8205,6294,6994,8994,11139,4200,2454,125668
Odisha,16.3.01,Stock Position of Oxytocin Injection,1. Balance From Previous Month,96429,54376,51661,58207,57382,41858,108430,108850,88910,77780,39550,14380,797813
Odisha,16.3.01,Stock Position of Oxytocin Injection,2. Stocks Received,15360,25380,34860,23740,48170,15495,19900,NA,4100,NA,NA,NA,187005
Odisha,16.3.01,Stock Position of Oxytocin Injection,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.3.01,Stock Position of Oxytocin Injection,4. Stock Distributed,17966,28581,30999,72098,56931,16774,31447,26750,17930,19160,9920,6020,334576
Odisha,16.3.01,Stock Position of Oxytocin Injection,5. Total Stock,93823,51175,55522,9849,48621,40579,96883,82100,75080,58620,29630,8360,650242
Odisha,16.3.02,Stock Position of Gloves,1. Balance From Previous Month,32931,15318,15008,12951,27552,7408,45986,29499,27238,28503,10373,14408,267175
Odisha,16.3.02,Stock Position of Gloves,2. Stocks Received,4771,13135,13710,16246,11150,8450,6600,2000,6400,510,NA,NA,82972
Odisha,16.3.02,Stock Position of Gloves,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.3.02,Stock Position of Gloves,4. Stock Distributed,14212,15628,20540,17951,19508,11158,18655,7477,7135,7725,4442,5850,150281
Odisha,16.3.02,Stock Position of Gloves,5. Total Stock,23490,12825,8178,11246,19194,4700,33931,24022,26503,21288,5931,8558,199866
Odisha,16.3.03,Stock Position of MVA Syringes,1. Balance From Previous Month,6,1703,26525,25065,8023,37184,5293,NA,NA,NA,NA,NA,103799
Odisha,16.3.03,Stock Position of MVA Syringes,2. Stocks Received,2,101,35268,28300,NA,NA,NA,NA,NA,NA,NA,NA,63671
Odisha,16.3.03,Stock Position of MVA Syringes,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.3.03,Stock Position of MVA Syringes,4. Stock Distributed,2,1501,10433,11327,422,7765,NA,NA,NA,NA,NA,NA,31450
Odisha,16.3.03,Stock Position of MVA Syringes,5. Total Stock,6,303,51360,42038,7601,29419,5293,0,0,0,0,0,136020
Odisha,16.3.04,Stock Position of Fluconazole Tablets,1. Balance From Previous Month,33141,14883,14157,44895,349035,18615,179600,222400,198650,174050,69550,54900,1373876
Odisha,16.3.04,Stock Position of Fluconazole Tablets,2. Stocks Received,NA,2,52845,63950,517000,23600,33500,6900,NA,NA,NA,10,697807
Odisha,16.3.04,Stock Position of Fluconazole Tablets,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.3.04,Stock Position of Fluconazole Tablets,4. Stock Distributed,609,4211,7188,46122,45188,3801,27000,34300,25100,39300,28500,26910,288229
Odisha,16.3.04,Stock Position of Fluconazole Tablets,5. Total Stock,32532,10674,59814,62723,820847,38414,186100,195000,173550,134750,41050,28000,1783454
Odisha,16.3.05,Stock Position of Blood Transfusion Sets,1. Balance From Previous Month,4640,1108,1348,1437,32034,1620,1150,1100,1050,1050,100,600,47237
Odisha,16.3.05,Stock Position of Blood Transfusion Sets,2. Stocks Received,204,801,1220,35575,88665,37675,NA,NA,NA,NA,NA,NA,164140
Odisha,16.3.05,Stock Position of Blood Transfusion Sets,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.3.05,Stock Position of Blood Transfusion Sets,4. Stock Distributed,509,44,178,179,4028,161,200,50,NA,300,100,NA,5749
Odisha,16.3.05,Stock Position of Blood Transfusion Sets,5. Total Stock,4335,1865,2390,36833,116671,39134,950,1050,1050,750,0,600,205628
Odisha,16.3.06,Stock Position of Gluteraldehyde solution of 2% concentration,1. Balance From Previous Month,124,289,9,6,6049,697,NA,NA,NA,NA,NA,NA,7174
Odisha,16.3.06,Stock Position of Gluteraldehyde solution of 2% concentration,2. Stocks Received,NA,403,200,800,80,NA,NA,NA,NA,NA,NA,NA,1483
Odisha,16.3.06,Stock Position of Gluteraldehyde solution of 2% concentration,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.3.06,Stock Position of Gluteraldehyde solution of 2% concentration,4. Stock Distributed,1,204,1,5,256,36,NA,NA,NA,NA,NA,NA,503
Odisha,16.3.06,Stock Position of Gluteraldehyde solution of 2% concentration,5. Total Stock,123,488,208,801,5873,661,0,0,0,0,0,0,8154
Odisha,16.3.07,Stock Position of IFA Tablets,1. Balance From Previous Month,NA,572280,NA,NA,NA,1953730,37191600,21822100,19244092,20753342,16578860,17911700,136027704
Odisha,16.3.07,Stock Position of IFA Tablets,2. Stocks Received,NA,79500,NA,NA,NA,585000,8593600,NA,NA,756000,5690000,5730000,21434100
Odisha,16.3.07,Stock Position of IFA Tablets,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,51842,NA,NA,51842
Odisha,16.3.07,Stock Position of IFA Tablets,4. Stock Distributed,NA,121380,NA,NA,NA,278650,7185400,4260850,3688050,1407690,1629060,4704600,23275680
Odisha,16.3.07,Stock Position of IFA Tablets,5. Total Stock,0,530400,0,0,0,2260080,38599800,17561250,15556042,20049810,20639800,18937100,134134282
Odisha,16.3.08,Stock Position of IFA Syrup (Paediatric),1. Balance From Previous Month,NA,215871,NA,NA,NA,2169430,820918,924218,854258,932058,535120,307670,6759543
Odisha,16.3.08,Stock Position of IFA Syrup (Paediatric),2. Stocks Received,NA,59460,NA,NA,NA,NA,753320,289116,226616,47760,13360,NA,1389632
Odisha,16.3.08,Stock Position of IFA Syrup (Paediatric),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.3.08,Stock Position of IFA Syrup (Paediatric),4. Stock Distributed,NA,80460,NA,NA,NA,270860,490883,309460,214780,223180,112740,90460,1792823
Odisha,16.3.08,Stock Position of IFA Syrup (Paediatric),5. Total Stock,0,194871,0,0,0,1898570,1083355,903874,866094,756638,435740,217210,6356352
Odisha,16.3.09,Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin),1. Balance From Previous Month,NA,NA,NA,NA,NA,NA,7560,255880,392445,579085,122445,97010,1454425
Odisha,16.3.09,Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin),2. Stocks Received,NA,NA,NA,NA,NA,NA,NA,91200,59800,3540,NA,2880,157420
Odisha,16.3.09,Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA,NA,NA,10000
Odisha,16.3.09,Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin),4. Stock Distributed,NA,NA,NA,NA,NA,NA,860,13680,22760,166080,38890,14690,256960
Odisha,16.3.09,Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin),5. Total Stock,0,0,0,0,0,0,6700,333400,419485,416545,83555,85200,1344885
Odisha,16.3.10,Stock Position of Vitamin A solution,1. Balance From Previous Month,654342,1065113,2157281,2203353,2006678,3494333,864692,744100,677457,654451,1439926,840694,16802420
Odisha,16.3.10,Stock Position of Vitamin A solution,2. Stocks Received,114214,1166791,562695,352708,431871,525901,228200,324600,NA,NA,NA,21500,3728480
Odisha,16.3.10,Stock Position of Vitamin A solution,3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,114
Odisha,16.3.10,Stock Position of Vitamin A solution,4. Stock Distributed,87140,784434,985706,129371,182345,1184007,134463,119327,25442,10274,8196,512048,4162753
Odisha,16.3.10,Stock Position of Vitamin A solution,5. Total Stock,681416,1447470,1734270,2426690,2256204,2836227,958429,949373,652015,644063,1431730,350146,16368033
Odisha,16.3.11,Stock of ORS (New WHO formulation),1. Balance From Previous Month,644369,436495,499201,413853,339658,401110,1402207,1153445,1581370,2283387,1195895,959240,11310230
Odisha,16.3.11,Stock of ORS (New WHO formulation),2. Stocks Received,316495,388104,192494,163647,348232,597800,225080,850795,900161,30000,NA,125100,4137908
Odisha,16.3.11,Stock of ORS (New WHO formulation),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,16.3.11,Stock of ORS (New WHO formulation),4. Stock Distributed,495779,402821,306558,375811,495811,539640,526158,220160,298995,530318,262720,308605,4763376
Odisha,16.3.11,Stock of ORS (New WHO formulation),5. Total Stock,465085,421778,385137,201689,192079,459270,1101129,1784080,2182536,1783069,933175,775735,10684762
Odisha,16.4.1,Stock Position of 0.1 ml Syringes(AD),1. Balance From Previous Month,200064,217276,232452,224164,204609,239896,83426,159797,135005,116227,126668,104710,2044294
Odisha,16.4.1,Stock Position of 0.1 ml Syringes(AD),2. Stocks Received,56320,64073,40265,57884,70235,66173,40256,34550,38290,74430,43190,100760,686426
Odisha,16.4.1,Stock Position of 0.1 ml Syringes(AD),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,800,NA,115,NA,NA,915
Odisha,16.4.1,Stock Position of 0.1 ml Syringes(AD),4. Stock Distributed,12550591,12557927,71724,12563312,12545542,95438,43343,55300,47439,34856,24750,85930,50676152
Odisha,16.4.1,Stock Position of 0.1 ml Syringes(AD),5. Total Stock,-12294207,-12276578,200993,-12281264,-12270698,210631,80339,138247,125856,155686,145108,119540,-47946347
Odisha,16.4.2,Stock Position of 0.5 ml Syringes(AD),1. Balance From Previous Month,1739410,2420137,2468583,2742030,1988521,2013015,996357,1641113,1567649,872107,1128090,914070,20491082
Odisha,16.4.2,Stock Position of 0.5 ml Syringes(AD),2. Stocks Received,444723,540122,456815,524826,480067,230133,355230,152544,94850,63000,118700,355670,3816680
Odisha,16.4.2,Stock Position of 0.5 ml Syringes(AD),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,NA,NA,432
Odisha,16.4.2,Stock Position of 0.5 ml Syringes(AD),4. Stock Distributed,494002,383519,557163,487922,336704,427314,258509,364046,174397,143930,125100,447700,4200306
Odisha,16.4.2,Stock Position of 0.5 ml Syringes(AD),5. Total Stock,1690131,2576740,2368235,2778934,2131884,1815834,1093078,1429611,1488102,790745,1121690,822040,20107024
Odisha,16.4.3,Stock Position of 5.0 ml Syringes(Disposable),1. Balance From Previous Month,100568,135377,133924,119341,150329,116450,115200,103772,174603,147404,134533,58615,1490116
Odisha,16.4.3,Stock Position of 5.0 ml Syringes(Disposable),2. Stocks Received,48126,26484,22999,45212,46213,33474,53207,42770,14980,39470,25670,46702,445307
Odisha,16.4.3,Stock Position of 5.0 ml Syringes(Disposable),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,33
Odisha,16.4.3,Stock Position of 5.0 ml Syringes(Disposable),4. Stock Distributed,30319,32546,36358,40929,47955,44268,77109,32149,48894,39020,36950,44652,511149
Odisha,16.4.3,Stock Position of 5.0 ml Syringes(Disposable),5. Total Stock,118375,129315,120565,123624,148587,105656,91298,114393,140689,147821,123253,60665,1424241
Odisha,17.1,Number of cases of Infant deaths within 24 hrs of birth,TOTAL,45,68,38,54,44,43,39,14,25,22,15,21,428
Odisha,17.2.1,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Sepsis,1. Up to 1 Weeks of Birth,NA,NA,NA,NA,NA,NA,NA,11,15,34,7,11,78
Odisha,17.2.1,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Sepsis,2. Between 1 week & 4 weeks of birth,NA,NA,NA,NA,NA,NA,9,10,9,14,3,10,55
Odisha,17.2.1,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Sepsis,3. Total,NA,NA,NA,NA,NA,NA,9,21,24,48,10,21,133
Odisha,17.2.2,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Asphyxia,1. Up to 1 Weeks of Birth,NA,NA,NA,NA,NA,NA,NA,19,8,17,9,21,74
Odisha,17.2.2,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Asphyxia,2. Between 1 week & 4 weeks of birth,NA,NA,NA,NA,NA,NA,12,19,15,8,7,6,67
Odisha,17.2.2,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Asphyxia,3. Total,NA,NA,NA,NA,NA,NA,12,38,23,25,16,27,141
Odisha,17.2.3,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being LBW,1. Up to 1 Weeks of Birth,NA,9,5,3,3,5,3,73,58,89,53,87,388
Odisha,17.2.3,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being LBW,2. Between 1 week & 4 weeks of birth,NA,3,NA,2,3,4,42,65,39,35,18,38,249
Odisha,17.2.3,Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being LBW,3. Total,NA,12,5,5,6,9,45,138,97,124,71,125,637
Odisha,17.2.4,"Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being other than Sepsis, Asphyxia and LBW",1. Up to 1 Weeks of Birth,6,4,NA,3,8,16,20,96,75,103,47,50,428
Odisha,17.2.4,"Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being other than Sepsis, Asphyxia and LBW",2. Between 1 week & 4 weeks of birth,9,4,5,NA,10,10,115,94,77,70,27,52,473
Odisha,17.2.4,"Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being other than Sepsis, Asphyxia and LBW",3. Total,15,8,5,3,18,26,135,190,152,173,74,102,901
Odisha,17.3.1,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Pneumonia,1. Between 1 month and 11 months,NA,NA,NA,NA,NA,9,NA,17,13,22,22,21,104
Odisha,17.3.1,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Pneumonia,2. Between 1 year & 5 years,NA,NA,NA,NA,NA,1,4,4,9,4,5,7,34
Odisha,17.3.1,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Pneumonia,3. Total,NA,NA,NA,NA,NA,10,4,21,22,26,27,28,138
Odisha,17.3.2,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Diarrhoea,1. Between 1 month and 11 months,NA,NA,NA,NA,NA,NA,NA,9,7,5,4,4,29
Odisha,17.3.2,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Diarrhoea,2. Between 1 year & 5 years,NA,NA,NA,NA,NA,NA,3,NA,3,6,NA,NA,12
Odisha,17.3.2,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Diarrhoea,3. Total,NA,NA,NA,NA,NA,NA,3,9,10,11,4,4,41
Odisha,17.3.3,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Fever related,1. Between 1 month and 11 months,NA,3,2,3,5,3,5,16,17,20,11,6,91
Odisha,17.3.3,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Fever related,2. Between 1 year & 5 years,NA,NA,NA,2,4,3,7,16,6,13,15,7,73
Odisha,17.3.3,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Fever related,3. Total,NA,3,2,5,9,6,12,32,23,33,26,13,164
Odisha,17.3.4,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Measles,1. Between 1 month and 11 months,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,4
Odisha,17.3.4,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Measles,2. Between 1 year & 5 years,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,4
Odisha,17.3.4,Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being Measles,3. Total,NA,NA,NA,NA,NA,NA,NA,2,1,4,NA,1,8
Odisha,17.3.5,"Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being other than Pneumonia, Diarrhoea, Fever related and Measles",1. Between 1 month and 11 months,16,2,3,3,3,16,13,121,84,135,86,131,613
Odisha,17.3.5,"Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being other than Pneumonia, Diarrhoea, Fever related and Measles",2. Between 1 year & 5 years,NA,3,3,NA,NA,6,106,112,11,47,13,18,319
Odisha,17.3.5,"Number of cases of Infant or Child deaths between 1 month to 5 years of age with the probable cause being other than Pneumonia, Diarrhoea, Fever related and Measles",3. Total,16,5,6,3,3,22,119,233,95,182,99,149,932
Odisha,17.4.1,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,1,NA,2,3,NA,NA,6
Odisha,17.4.1,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2
Odisha,17.4.1,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,17.4.1,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Diarrhoeal diseases,4. Total,NA,NA,NA,NA,NA,NA,1,NA,2,4,NA,1,8
Odisha,17.4.2,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
Odisha,17.4.2,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,4,12
Odisha,17.4.2,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,17.4.2,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Tuberculosis,4. Total,NA,NA,NA,NA,NA,NA,2,3,3,1,1,4,14
Odisha,17.4.3,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,3,3,NA,2,1,1,10
Odisha,17.4.3,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,2,1,3,4,2,4,16
Odisha,17.4.3,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,2,6,NA,2,2,1,13
Odisha,17.4.3,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Respiratory diseases including infections,4. Total,NA,NA,NA,NA,NA,NA,7,10,3,8,5,6,39
Odisha,17.4.4,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,3,NA,53,NA,NA,1,57
Odisha,17.4.4,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,2,1,6,55,2,NA,66
Odisha,17.4.4,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,5
Odisha,17.4.4,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Malaria,4. Total,NA,NA,NA,NA,NA,NA,6,4,59,56,2,1,128
Odisha,17.4.5,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being other Fever related,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,10,NA,2,2,NA,19,33
Odisha,17.4.5,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being other Fever related,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,3,NA,23,11,4,7,48
